Pass,Profit,Equity DD %,Trades,VOLUME,percentageToEnter
251,14264.8,61.05,5,4,-4.5
237,14065.6,61.68,5,4,-4.25
223,13847.6,62.25,5,4,-4
209,13608.0,63.10,5,4,-3.75
195,13386.8,64.07,5,4,-3.5
279,13312.8,16.21,3,4,-5
250,13194.9,60.42,5,3.7,-4.5
181,13186.4,65.09,5,4,-3.25
236,13010.7,61.03,5,3.7,-4.25
167,12968.0,66.60,5,4,-3
222,12809.0,61.59,5,3.7,-4
153,12716.4,67.92,5,4,-2.75
208,12587.4,62.42,5,3.7,-3.75
139,12484.8,69.31,5,4,-2.5
194,12382.8,63.38,5,3.7,-3.5
278,12314.3,16.12,3,3.7,-5
125,12290.4,70.51,5,4,-2.25
180,12197.4,64.38,5,3.7,-3.25
249,12125.1,59.69,5,3.4,-4.5
111,12053.2,71.96,5,4,-2
166,11995.4,65.87,5,3.7,-3
235,11955.8,60.29,5,3.4,-4.25
97,11834.4,73.42,5,4,-1.75
221,11770.5,60.83,5,3.4,-4
152,11762.7,67.16,5,3.7,-2.75
265,11732.8,60.51,4,4,-4.75
83,11617.6,74.88,5,4,-1.5
207,11566.8,61.65,5,3.4,-3.75
138,11548.4,68.52,5,3.7,-2.5
69,11382.0,76.39,5,4,-1.25
193,11378.8,62.58,5,3.4,-3.5
124,11368.6,69.71,5,3.7,-2.25
277,11315.9,16.01,3,3.4,-5
179,11208.4,63.56,5,3.4,-3.25
55,11204.0,77.56,5,4,-1
110,11149.2,71.13,5,3.7,-2
248,11055.2,58.85,5,3.1,-4.5
165,11022.8,65.02,5,3.4,-3
96,10946.8,72.56,5,3.7,-1.75
234,10900.8,59.42,5,3.1,-4.25
264,10852.8,59.89,4,3.7,-4.75
151,10808.9,66.29,5,3.4,-2.75
82,10746.3,73.99,5,3.7,-1.5
220,10731.9,59.95,5,3.1,-4
137,10612.1,67.62,5,3.4,-2.5
206,10546.2,60.74,5,3.1,-3.75
68,10528.4,75.47,5,3.7,-1.25
123,10446.8,68.79,5,3.4,-2.25
192,10374.8,61.66,5,3.1,-3.5
54,10363.7,76.63,5,3.7,-1
276,10317.4,15.89,3,3.1,-5
109,10245.2,70.18,5,3.4,-2
178,10219.5,62.62,5,3.1,-3.25
40,10145.4,78.24,5,3.7,-0.75
95,10059.2,71.58,5,3.4,-1.75
164,10050.2,64.04,5,3.1,-3
247,9985.4,57.85,5,2.8,-4.5
263,9972.9,59.17,4,3.4,-4.75
26,9940.4,79.88,5,3.7,-0.5
81,9875.0,72.98,5,3.4,-1.5
150,9855.2,65.28,5,3.1,-2.75
233,9845.9,58.41,5,2.8,-4.25
219,9693.3,58.92,5,2.8,-4
136,9675.7,66.58,5,3.1,-2.5
67,9674.7,74.42,5,3.4,-1.25
205,9525.6,59.68,5,2.8,-3.75
122,9525.1,67.72,5,3.1,-2.25
53,9523.4,75.56,5,3.4,-1
191,9370.8,60.57,5,2.8,-3.5
108,9341.2,69.07,5,3.1,-2
39,9322.8,77.13,5,3.4,-0.75
275,9319.0,15.74,3,2.8,-5
177,9230.5,61.51,5,2.8,-3.25
94,9171.7,70.44,5,3.1,-1.75
25,9134.4,78.73,5,3.4,-0.5
262,9092.9,58.34,4,3.1,-4.75
163,9077.6,62.89,5,2.8,-3
80,9003.6,71.80,5,3.1,-1.5
11,8934.2,80.33,5,3.4,-0.25
246,8915.5,56.66,5,2.5,-4.5
149,8901.5,64.09,5,2.8,-2.75
66,8821.1,73.21,5,3.1,-1.25
232,8791.0,57.20,5,2.5,-4.25
135,8739.4,65.35,5,2.8,-2.5
52,8683.1,74.31,5,3.1,-1
218,8654.8,57.69,5,2.5,-4
121,8603.3,66.46,5,2.8,-2.25
204,8505.0,58.42,5,2.5,-3.75
38,8500.2,75.84,5,3.1,-0.75
107,8437.2,67.78,5,2.8,-2
190,8366.8,59.28,5,2.5,-3.5
24,8328.5,77.41,5,3.1,-0.5
274,8320.5,15.56,3,2.5,-5
93,8284.1,69.10,5,2.8,-1.75
176,8241.5,60.19,5,2.5,-3.25
261,8213.0,57.36,4,2.8,-4.75
10,8145.9,78.96,5,3.1,-0.25
79,8132.3,70.42,5,2.8,-1.5
162,8105.0,61.52,5,2.5,-3
65,7967.4,71.79,5,2.8,-1.25
148,7947.8,62.68,5,2.5,-2.75
245,7845.6,55.22,5,2.2,-4.5
51,7842.8,72.86,5,2.8,-1
134,7803.0,63.90,5,2.5,-2.5
231,7736.1,55.73,5,2.2,-4.25
120,7681.5,64.97,5,2.5,-2.25
37,7677.6,74.34,5,2.8,-0.75
217,7616.2,56.19,5,2.2,-4
106,7533.3,66.24,5,2.5,-2
23,7522.5,75.86,5,2.8,-0.5
203,7484.4,56.89,5,2.2,-3.75
92,7396.5,67.51,5,2.5,-1.75
189,7362.7,57.71,5,2.2,-3.5
9,7357.6,77.35,5,2.8,-0.25
260,7333.0,56.19,4,2.5,-4.75
273,7322.0,15.34,3,2.2,-5
78,7261.0,68.79,5,2.5,-1.5
175,7252.5,58.58,5,2.2,-3.25
161,7132.4,59.86,5,2.2,-3
64,7113.8,70.10,5,2.5,-1.25
50,7002.5,71.14,5,2.5,-1
147,6994.0,60.97,5,2.2,-2.75
133,6866.6,62.14,5,2.2,-2.5
36,6855.0,72.56,5,2.5,-0.75
244,6775.8,53.43,5,1.9,-4.5
119,6759.7,63.16,5,2.2,-2.25
22,6716.5,74.02,5,2.5,-0.5
230,6681.2,53.90,5,1.9,-4.25
105,6629.3,64.37,5,2.2,-2
216,6577.6,54.34,5,1.9,-4
8,6569.3,75.45,5,2.5,-0.25
91,6508.9,65.59,5,2.2,-1.75
202,6463.8,54.99,5,1.9,-3.75
259,6453.0,54.77,4,2.2,-4.75
77,6389.7,66.81,5,2.2,-1.5
188,6358.7,55.76,5,1.9,-3.5
272,6323.6,15.05,3,1.9,-5
174,6263.5,56.60,5,1.9,-3.25
63,6260.1,68.06,5,2.2,-1.25
49,6162.2,69.06,5,2.2,-1
160,6159.8,57.80,5,1.9,-3
146,6040.3,58.85,5,1.9,-2.75
35,6032.4,70.41,5,2.2,-0.75
132,5930.3,59.96,5,1.9,-2.5
21,5910.5,71.80,5,2.2,-0.5
118,5837.9,60.93,5,1.9,-2.25
7,5780.9,73.17,5,2.2,-0.25
104,5725.3,62.08,5,1.9,-2
243,5705.9,51.14,5,1.6,-4.5
229,5626.2,51.58,5,1.6,-4.25
90,5621.3,63.23,5,1.9,-1.75
258,5573.1,53.01,4,1.9,-4.75
215,5539.0,51.98,5,1.6,-4
76,5518.4,64.38,5,1.9,-1.5
201,5443.2,52.57,5,1.6,-3.75
62,5406.5,65.56,5,1.9,-1.25
187,5354.7,53.29,5,1.6,-3.5
271,5325.1,14.68,3,1.6,-5
48,5321.9,66.50,5,1.9,-1
173,5274.6,54.08,5,1.6,-3.25
34,5209.8,67.77,5,1.9,-0.75
159,5187.2,55.20,5,1.6,-3
20,5104.5,69.08,5,1.9,-0.5
145,5086.6,56.17,5,1.6,-2.75
131,4993.9,57.20,5,1.6,-2.5
6,4992.6,70.36,5,1.9,-0.25
117,4916.2,58.11,5,1.6,-2.25
103,4821.3,59.17,5,1.6,-2
89,4733.8,60.24,5,1.6,-1.75
257,4693.1,50.76,4,1.6,-4.75
75,4647.0,61.30,5,1.6,-1.5
242,4636.1,48.14,5,1.3,-4.5
228,4571.3,48.53,5,1.3,-4.25
61,4552.8,62.40,5,1.6,-1.25
214,4500.5,48.88,5,1.3,-4
47,4481.6,63.27,5,1.6,-1
200,4422.6,49.40,5,1.3,-3.75
33,4387.2,64.45,5,1.6,-0.75
186,4350.7,50.05,5,1.3,-3.5
270,4326.7,14.17,3,1.3,-5
19,4298.6,65.65,5,1.6,-0.5
172,4285.6,50.78,5,1.3,-3.25
158,4214.6,51.79,5,1.3,-3
5,4204.3,66.83,5,1.6,-0.25
144,4132.8,52.67,5,1.3,-2.75
130,4057.6,53.60,5,1.3,-2.5
116,3994.4,54.42,5,1.3,-2.25
102,3917.3,55.39,5,1.3,-2
88,3846.2,56.35,5,1.3,-1.75
256,3813.2,47.80,4,1.3,-4.75
74,3775.7,57.31,5,1.3,-1.5
60,3699.2,58.29,5,1.3,-1.25
46,3641.3,59.08,5,1.3,-1
241,3566.2,44.00,5,1,-4.5
32,3564.6,60.14,5,1.3,-0.75
227,3516.4,44.32,5,1,-4.25
18,3492.6,61.22,5,1.3,-0.5
213,3461.9,44.62,5,1,-4
4,3416.0,62.27,5,1.3,-0.25
199,3402.0,45.05,5,1,-3.75
185,3346.7,45.62,5,1,-3.5
269,3328.2,13.42,3,1,-5
171,3296.6,46.26,5,1,-3.25
157,3242.0,47.13,5,1,-3
143,3179.1,47.89,5,1,-2.75
129,3121.2,48.70,5,1,-2.5
115,3072.6,49.41,5,1,-2.25
101,3013.3,50.24,5,1,-2
87,2958.6,51.07,5,1,-1.75
255,2933.2,43.72,4,1,-4.75
73,2904.4,51.90,5,1,-1.5
59,2845.5,52.74,5,1,-1.25
45,2801.0,53.43,5,1,-1
31,2742.0,54.33,5,1,-0.75
17,2686.6,55.25,5,1,-0.5
3,2627.7,56.14,5,1,-0.25
240,2496.3,37.95,5,0.7,-4.5
226,2461.5,38.19,5,0.7,-4.25
212,2423.3,38.40,5,0.7,-4
198,2381.4,38.73,5,0.7,-3.75
184,2342.7,39.17,5,0.7,-3.5
268,2329.7,12.22,3,0.7,-5
170,2307.6,39.69,5,0.7,-3.25
156,2269.4,40.38,5,0.7,-3
142,2225.4,40.98,5,0.7,-2.75
128,2184.8,41.63,5,0.7,-2.5
114,2150.8,42.20,5,0.7,-2.25
100,2109.3,42.85,5,0.7,-2
86,2071.0,43.50,5,0.7,-1.75
254,2053.2,37.74,4,0.7,-4.75
72,2033.1,44.15,5,0.7,-1.5
58,1991.9,44.81,5,0.7,-1.25
44,1960.7,45.36,5,0.7,-1
30,1919.4,46.06,5,0.7,-0.75
16,1880.6,46.78,5,0.7,-0.5
2,1839.4,47.47,5,0.7,-0.25
239,1426.5,28.23,5,0.4,-4.5
225,1406.6,28.37,5,0.4,-4.25
211,1384.8,28.49,5,0.4,-4
197,1360.8,28.66,5,0.4,-3.75
183,1338.7,28.94,5,0.4,-3.5
267,1331.3,9.98,3,0.4,-5
169,1318.6,29.30,5,0.4,-3.25
155,1296.8,29.74,5,0.4,-3
141,1271.6,30.12,5,0.4,-2.75
127,1248.5,30.54,5,0.4,-2.5
113,1229.0,30.91,5,0.4,-2.25
99,1205.3,31.33,5,0.4,-2
85,1183.4,31.74,5,0.4,-1.75
253,1173.3,28.12,4,0.4,-4.75
71,1161.8,32.16,5,0.4,-1.5
57,1138.2,32.57,5,0.4,-1.25
43,1120.4,32.93,5,0.4,-1
29,1096.8,33.37,5,0.4,-0.75
15,1074.6,33.82,5,0.4,-0.5
1,1051.1,34.24,5,0.4,-0.25
238,356.6,10.11,5,0.1,-4.5
224,351.6,10.13,5,0.1,-4.25
210,346.2,10.14,5,0.1,-4
196,340.2,10.17,5,0.1,-3.75
182,334.7,10.24,5,0.1,-3.5
266,332.8,4.38,3,0.1,-5
168,329.7,10.34,5,0.1,-3.25
154,324.2,10.45,5,0.1,-3
140,317.9,10.55,5,0.1,-2.75
126,312.1,10.66,5,0.1,-2.5
112,307.3,10.76,5,0.1,-2.25
98,301.3,10.87,5,0.1,-2
84,295.9,10.98,5,0.1,-1.75
252,293.3,10.10,4,0.1,-4.75
70,290.4,11.08,5,0.1,-1.5
56,284.6,11.19,5,0.1,-1.25
42,280.1,11.29,5,0.1,-1
28,274.2,11.39,5,0.1,-0.75
14,268.7,11.50,5,0.1,-0.5
0,262.8,11.60,5,0.1,-0.25
41,-986.4,98.90,1,4,-0.75
27,-986.8,99.22,1,4,-0.5
13,-988.0,99.12,1,4,-0.25
12,-988.3,98.98,1,3.7,-0.25
